reviewerID;name;location;yelpJoinDate;friendCount;reviewCount;firstCount;usefulCount;coolCount;funnyCount;complimentCount;tipCount;fanCount
yevHGEUQQmnVlBXIrJ885A;Kevin T.;Oconomowoc, WI;May 2011;4;86;3;129;47;31;12;0;1
yoB_PYQHjnPjh78ATA0Jgw;Veronica B.;Saint Paul, MN;January 2010;5;49;5;63;34;21;10;2;0
XrFCag4AMW5qta9QXokWPA;Paul The Commander M.;Saint Louis, MO;August 2008;15;135;29;235;85;102;72;0;3
y5ptsWmvGEAftOQaiFhBcg;Stella BraveTart J.;Lexington-Fayette, KY;September 2009;49;104;36;282;83;92;43;0;21
uUVZJm9yxNl5FBsXbt4WBg;Ginger 'where's my meds' v.;San Francisco, CA;August 2008;22;34;2;81;32;52;5;0;1
ZCRY4GLLTli8tZRPi1P7Cw;Johan Johanna S.;San Leandro, CA;August 2010;0;34;0;20;3;3;0;0;0
uOFIY6vBBp7O6un8CLggTw;Daniel Don Quijote K.;Honolulu, HI;June 2011;72;51;0;57;19;16;8;0;1
tdE3__i2otI_nL3M3sy0MQ;Jen Mme Federer C.;New York, NY;December 2008;136;238;37;200;103;40;55;10;2
Uu-qEGsSb72ngIQUF85rDQ;Anna P.;New York, NY;March 2010;1;11;0;9;4;3;1;1;0
zyk-YPhtFZK6kkbpzEKrWw;Kara P.;Covington, KY;December 2009;66;49;2;51;19;14;27;13;1
V2OQaeZvePoGkbZ-Uye6KA;Rachel here's lookin at U.;Philadelphia, PA;October 2007;52;234;21;554;402;192;163;0;11
TYSR6svM9HQoqgBUpQH7GQ;Jeffrey A.;Los Angeles, CA;June 2011;2;8;0;3;1;1;0;1;0
vvB_c7yYIA1bnjgb3aPckg;Craig H.;Gridley, IL;February 2006;0;20;6;11;6;1;2;3;0
wiD0JGjaifHO5rTF49dJlg;penny h.;Chicago, IL;February 2007;0;52;1;22;7;4;3;0;0
WFfMbs9iXsYZT9GHfVCLTA;Esther P.;Chicago, IL;December 2011;2;10;0;4;3;2;0;0;0
UqYndXp9pbFpapebnIleTw;Amy w.;Richardson, TX;February 2009;8;43;1;42;10;10;0;0;0
TIlh76nA82VBpXK_XuoOBg;c m.;Chicago, IL;May 2010;0;22;0;14;2;4;0;0;1
x1uo32SAD_XMq0ulqC8_OQ;Shadow shadow K.;San Diego, CA;April 2011;0;2;0;0;0;0;0;0;0
Ztd3ZxcPSCXv01MZTBXVZQ;Emily W.;Berkeley, CA;December 2006;13;7;0;7;3;0;0;0;2
TtwhWwNSqDv64M2EnYZE8g;Michael The best is good enough for me S.;Denver, CO;January 2007;511;838;175;4146;3448;3411;2458;3;66
wiFeLz74XNt7Z8NnfxDzWQ;Tanya thrifty splurger S.;River Forest, IL;August 2007;7;129;16;126;34;29;9;0;1
UWT8_eEQVLsFaQfqUmX-Mw;Tina M.;Chicago, IL;October 2010;31;85;10;64;15;10;19;19;1
yfhTcICkoPGD_BRE5fDmXQ;Kate S.;Chicago, IL;April 2008;0;11;0;5;1;0;0;0;0
yCykhVHx9FITYE9CpZ3oug;K. N.;Boston, MA;September 2009;0;12;1;3;0;0;0;0;0
tpV0gtalY54P4y2bv-gQow;Garrett deadbody L.;Minneapolis, MN;November 2010;3;32;6;4;4;5;2;0;0
xq8MehjzMhUEl33Eun4OCw;Pete B.;Chicago, IL;October 2009;19;88;2;77;6;12;2;0;0
-Zj7AybUs0qnG5qDZ4E9Hw;Maybelyn L.;Madison, WI;June 2010;1;46;0;8;5;5;1;0;1
UvN5nsb99EG-0rhNkY0gpw;John M.;Hawthorne, CA;December 2011;1;18;1;7;2;3;0;0;0
UM0hJuVRR27cTRLrQfJ9EA;Dee M.;Gurnee, IL;April 2012;0;3;1;3;1;0;0;1;0
We19fTNDqsoKmbdIlo165A;Karim Friendbear V.;Seattle, WA;July 2011;22;84;0;61;21;18;16;27;1
WjJiRyXYyEwUrNh8qvrNCQ;Steve shanks s.;MA;January 2007;114;361;18;656;352;301;153;0;13
tHY6fy5NwFgcxq54iA446Q;chewy c.;San Francisco, CA;November 2007;6;39;2;19;10;7;2;0;0
VMNt8vQrzWL6taFm7tlKWw;Kimberley Survival of the Fittest K.;New York, NY;April 2009;61;131;17;409;143;172;60;0;8
uT5js4BxtflLWP5qjbIM4Q;Jon JJ S.;Chicago, IL;July 2008;23;26;1;34;10;24;2;1;1
xHzZOs8vw7XczppeVWVigQ;Meghan blueweimer H.;Stoughton, WI;December 2009;7;34;9;34;5;8;1;2;0
X-dyuhHVUYXflFcheV8pfg;Leila O.;Minneapolis, MN;May 2009;14;50;2;55;24;27;14;51;3
yZBBIMLJMSKi36linH35uA;Eileen C.;Wheaton, IL;April 2009;5;12;2;1;1;1;0;0;0
ZG6c3GaUjBf-wNhSbKYbpA;Miriam B.;Owings Mills, MD;March 2010;84;373;17;932;660;600;186;40;5
WJnyWEe_YK7JO47fcovBVw;Linnea B.;San Diego, CA;October 2006;93;129;21;155;79;16;34;55;4
vhDOO4-w17ZGhg7JzEo8OA;Katherine C.;New York, NY;January 2010;0;11;0;3;2;0;0;0;0
wBr9wRqyqtQXFSqjcjPL4A;Kevin logistics Man O.;St. Joseph, MI;January 2010;12;54;6;37;9;8;0;23;0
Y3EwU54GcA0wex6f0OF0cQ;Liz R.;Los Angeles, CA;February 2009;0;6;0;8;1;1;0;0;0
TVLh_KiYi0vBq03HvTjMGw;Amie B.;San Pedro, CA;January 2010;76;24;1;35;11;5;3;117;2
U7eZivxqYhNoS73A4aKhhQ;mally s.;Chicago, IL;April 2010;30;74;7;38;27;22;21;119;1
Y4Du3cllZ_gpNjzTvmeZ0Q;Kev Ready to Tanqueray L.;Kansas City, MO;October 2008;197;562;206;1599;977;1023;494;0;37
uvqhDdqRyl1aqTlxu_UZtg;Deb M.;Canton, MI;June 2010;11;65;1;73;22;10;9;4;1
YhIYQRzr6zpNMWAYhr23ZQ;Claire ClaireBear T.;Dallas, TX;January 2008;118;165;13;689;500;339;324;3;9
ZYZNcugF3xUEGyLOVGiZ0Q;Carol K.;Chicago, IL;January 2007;759;1815;283;7352;5245;3334;3433;0;121
YDSej4SOmIiwxs4T1yvvgA;Michelle Mickey L.;Plainfield, IL;August 2008;5;22;2;51;31;25;11;0;3
V9auwZv4HzIZ_z4PejFVjw;Laura R.;Atlanta, GA;February 2010;61;205;9;208;110;77;44;0;9
u5l58KYAOiW2sdPFWIFciQ;Minyung Would I Go Back L.;Cerritos, CA;November 2008;67;130;9;51;19;15;8;0;3
wwsTBKSWhtE2rc1alEkyJA;Lauren S.;San Francisco, CA;May 2007;498;691;203;3279;2331;1523;1976;0;63
zV9kXG5vG0JE07uUzljThw;Laura O.;Anaheim, CA;September 2009;1;2;0;1;1;0;0;0;0
x8fZXFzsCERCcH7g5KkMWQ;Dean chinodino L.;Kahului, HI;September 2009;14;13;0;4;2;1;0;1;0
wwNs_kMiVEn8V61uqP3ZzA;meg v.;New Brunswick, NJ;July 2008;2;12;5;56;26;20;4;0;0
UidLz6LYdq8El8fa7WLTYQ;Samantha V.;East Stroudsburg, PA;January 2012;1;3;0;0;0;0;0;0;0
tUA34mln_F8aHOEUqCtN2w;Benjamin -bcb- B.;Ann Arbor, MI;April 2007;66;91;6;73;29;11;17;6;2
YiT9EzTpwddFlcxO7q5Pdw;Andrea W.;Chicago, IL;October 2011;0;7;1;2;1;2;0;0;0
vODeKrgSvJt7Kr_cJTxohg;C. Cheng C.;San Francisco, CA;March 2009;1;22;0;17;3;3;1;0;0
z9KDaX66Y8Dlze--SBNl1A;Kelly C.;Chicago, IL;December 2009;1;43;3;37;8;6;1;0;1
-Vrb0dmE3AxJuJ0dyVY4NA;Lucia Blow-Pop M.;Las Vegas, NV;July 2010;34;194;12;188;107;216;28;158;13
zZpU2cqD_RXQ2QACpyhKWw;sprout s.;San Francisco, CA;January 2007;13;149;5;114;77;64;19;0;3
uoTwHcakHhXMfsFJ2EsYMw;jessica d.;Aurora, IL;August 2007;0;8;0;6;2;4;2;0;0
U3G8REjW-H6oRdCMZg1KpA;Molly The Red W.;Atlanta, GA;March 2010;30;41;2;28;9;17;9;48;1
Wyj9ZT33URUTZVP_Skia1g;Margie I'm hungry L.;San Francisco, CA;April 2006;46;194;13;267;213;99;56;0;9
vSy_0_4_BLTUNbMhMMBFIA;Noelle S.;Los Angeles, CA;October 2009;36;31;1;64;19;14;15;116;2
VdVvqoiLlQt6p0hY0jcvag;David A.;Amarillo, TX;July 2006;40;319;172;232;92;50;26;139;5
