date;reviewID;reviewerID;reviewContent;rating;usefulCount;coolCount;funnyCount;fake;hotelID
9/16/2010;Ol;nf3q2h-kSQoZK2jBY92FOg;"If you are considering staying here, watch this first: http://www.youtube.com/w…";1;8;2;6;N;tQfLGoolUMu2J0igcWcoZg
2/5/2010;i4HIAcNTjabdpG1K4F5Q2g;Sb3DJGdZ4Rq__CqxPbae-g;"This place is disgusting, absolutely horrible, it is my second stay here, there is a strange stain on the other side of the bed I stay on, and my friends and I are rendered air conditionless, but it is 55 for downtown Chicago, what am I suppose to do?";3;11;4;9;N;tQfLGoolUMu2J0igcWcoZg
8/9/2010;veKKNAaSKWj8os;nR7zLyFOlzAYqmzgJ3DtXg;"Disgusting!!!  There is literally duct tape holding together the elevator.  Crack heads live here.. not safe!  Walked in, bought a room.. saw it and left.  No locks on doors, no parking, no air conditioning, no way! For the $$ you pay for the room ($ 55 a night) and parking ($ 38 a night) you could stay down the street at The Ohio House and NOT sleep with one eye open.  Would not recommend this hotel to my worst enemy.  Seriously, DO NOT STAY HERE!";1;1;0;3;N;tQfLGoolUMu2J0igcWcoZg
8/11/2012;6c-ZiQkHXtp1n6VfiKDQ3g;747lP4p8dUD6RTkcsIaSGg;"This hotel came up on Hotwire for $108 a night.  We wanted to stay in this area so we took it.  The Tremont is an older hotel updated to boutique style.  I'm rather amazed by some of the other snarky reviews -- if you want rooms like the Drake or the Four Seasons, book yourselves there and pay the price!   In fact, our room (910) was fine.  It's a bit small, but large enough to hold a rather monumental king size bed with a giant headboard.  Perfectly comfortable.  There's decent free WiFi and plenty of outlets.  The bathroom has a slightly odd layout but is a bit larger than at the Inn of Chicago, where we stayed the first two nights we were in town. You also can't beat the location -- half a block west of Michigan Ave. at the Water Tower.  So there's no end of shopping and dining facilities.  You're a couple of blocks walk to Oak Street Beach and the El station.   It's true that there's only one elevator, so be prepared for it to be slow, especially when it's check-out time.  But this is a small quibble.  Haven't tried the continental breakfast at Ditka's yet.  But we did notice a café in the plaza at the John Hancock building across Michigan Ave. that offers breakfast, coffees, etc. that probably should be decent.  There's also a Starbucks right across the street from the hotel.  Also the hotel has only 20 TV channels and doesn't carry MSNBC, to which I'm kind of addicted.   In short, no real complaints.  The Tremont more than meets our needs at a great price!";4;2;0;1;N;33Xc1Bk_gkSY5xb2doQ7Ng
7/9/2012;POWQ6FuUf3oe2ZkhmHvciA;Ij5t6VdwtasSkrpp9uAbKg;"Good location, really run down. I am surprised SPG lends their reputation to this property.";2;0;0;0;N;33Xc1Bk_gkSY5xb2doQ7Ng
6/19/2012;QBynYcLgIgtAd-YfnrrAtA;hSERzClUe57bCw3nCp4plA;"Beautiful lobby. The rest is a dump. The elevator should be in an amusement park. The rooms are nice, if you like lumpy beds, peeling wallpaper, caked on dust on the air vents, disgusting bathrooms, and zero customer service. If they were a hostel, I'd be more understanding. But this place purports to be a classy old hotel.   If you're a hobo looking for a flophouse, this might be for you. There are plenty of dumpsters nearby for any biscuit-spearing you might have on your itinerary.  By all means, catch a cannonball to chi-town but mind the bone polishers. If you are a non-hobo, look elsewhere.";1;0;1;1;N;33Xc1Bk_gkSY5xb2doQ7Ng
9/14/2012;ELY3TK;OMm2VcGks3QL0p0n3_kPFw;"Stayed here when I went to Chicago for a wedding.  The hotel had an old world charm that my husband and I liked and made us choose this over something more modern.  Yes, the hotel only had 1 small elevator which made it a little inconvenient when there were multiple groups (with luggage) at the same time, which reminded me of a hotel in Europe.  The rooms were modest, the bathroom was fine, everything was clean... not luxurious, but what do you expect.  The location itself is conveniently located just off the main street.  I think we ended up paying $160 per night (after taxes were added) during the weekend in July, which was cheap for that area when we looked.  Overall, fairly comfortable and affordable, a decent option.";3;2;0;0;N;33Xc1Bk_gkSY5xb2doQ7Ng
3/20/2012;uWKWYb5vDpeDGEAZUc192g;yevHGEUQQmnVlBXIrJ885A;"I bleed SPG loyalty blood to the point where I will walk or drive an extra 15-20 minutes to stay at a Starwood property just to get the points, but if the Westins downtown are booked again...I think that I may have to reconsider my tactics, because The Tremont is a dump.   This property is an embarrassment to the brand. Three things come to mind. 1)  The room's wallpaper and paint were perhaps current when leisure suits were legitimately fashionable. 2)  The hotel doesn't have a gym or a restaurant. 3)  I called down to the front desk because someone literally stole the cord off the back of the television and I wanted to watch the news, but there was no answer.  What kind of @!#$%!@#$ hotel doesn't answer at the front desk?  I ended up calling six times and never got through to the front desk, so I finally just took the one (yes, one) elevator down there.  I couldn't find a single person who works for the hotel. Stay classy, Tremont.  I won't be back.";1;1;1;0;N;33Xc1Bk_gkSY5xb2doQ7Ng
3/3/2012;hkt7Dnr7kRnLLd9pm-fxDw;Lql1_3zeGlny_Tgq4MI6Fg;"I stayed here a couple of times in 2011, as this was the hotel-of-choice for my sister's wedding last summer.  It definitely had a lot of charm, but it was quite outdated and a bit run down (peeling wallpaper, for example).  The elevator was INCREDIBLY SLOOOOOW - and just one passenger elevator for 16 floors meant lots of waiting around.  (There was a service elevator that some used instead, but it was equally as slow.)  For the location and the price, though, it's a pretty good place to stay.";3;0;0;0;N;33Xc1Bk_gkSY5xb2doQ7Ng
6/18/2012;ZlexD7XvkqH8yve4zCAR7g;RtyDimVdIBwjGdQr0dti1w;"This is an older property, so the decor is dated. This is not up to par with other SPG properties. No gym. A sparse continental breakfast of desserts and cereal is provided in the adjacent Ditka's restaurant. My bf is an SPG platinum elite member. Daniel upgraded us to the penthouse suite three days before our reservation. However when we arrived, it was unavailable due to construction. We were transferred to a suite in which one shower did not function, and the bathroom reeked of urine. We complained to the manager, who stated she did not smell anything unusual. With the help of our SPG representative, we switched to a different hotel.";1;0;0;0;N;33Xc1Bk_gkSY5xb2doQ7Ng
3/13/2012;Rw1JmyRyyjoACCUFvmS9kQ;hCIJT7tIhPX_YZBCPhYhMg;"Small Rooms....one elevator that takes forever to come down to the first floor.  Had a second elevator or service elevator, but it did not work at all.  The elevator that worked could only hold 5 people at a time.  One plus is the location.   Ditkas was Awesome and right next door.";2;0;0;0;N;33Xc1Bk_gkSY5xb2doQ7Ng
5/24/2010;O9chyjQi5;nKgjmPhPPiJ8BL97dO76XA;"Great location, terribly outdated. Feels like my grandmother decorated it, complete with overwhelming smell of cranberry potpourri in the lobby. Nothing extra, no frills, no service, no greeting when you walk ing. You can pay $5 for muffins and coffee in the morning, no eggs, no room service. If you're on a budget, at least it's clean, maybe not comfortable.";2;2;1;1;N;33Xc1Bk_gkSY5xb2doQ7Ng
10/25/2010;x4FHvju16JpVa3ihzIwQvw;IhKctrZ3BtJkfpf0qO-8mQ;"My husband and I came to Chicago for a week and decided to stay here. The price was right and it's in a very convenient neighborhood. Yes, it's old and small but we had a good time here. We stayed in a room with one queen bed and it was more spacious than I thought it would be. You could tell one wall had some water damage at one time, but everything was clean and everything worked. I didn't deal with the staff besides checking in and out, but the people I did speak with were friendly. There weren't a ton of amenities but I didn't come to Chicago to hang out in my hotel room. The train is only a few blocks away and you're surrounded by tons of places to go shopping. I would definitely stay here again.";4;1;0;0;N;33Xc1Bk_gkSY5xb2doQ7Ng
