,date_review,reviewID_review,reviewContent_review,rating_review,usefulCount_review,coolCount_review,funnyCount_review,fake_review,reviewerID_user,name_user,location_user,yelpJoinDate_user,friendCount_user,reviewCount_user,firstCount_user,usefulCount_user,coolCount_user,funnyCount_user,complimentCount_user,tipCount_user,fanCount_user,reviewsPerDay_user,hotelID_hotel,name_hotel,location_hotel,reviewCount_hotel,rating_hotel,categories_hotel,address_hotel,AcceptsCreditCards_hotel,PriceRange_hotel,WiFi_hotel,webSite_hotel,phoneNumber_hotel,filReviewCount_hotel
0,9/16/2010,Ol,"If you are considering staying here, watch this first: http://www.youtube.com/w…",1,8,2,6,N,yevHGEUQQmnVlBXIrJ885A,Kevin T.,"Oconomowoc, WI",May 2011,4,86,3,129,47,31,12,0,1,0.16570327552986513,pSLh_XyV_3QS1hNsBOGHiQ,Old Chicago Inn,"Old Chicago Inn - Lakeview - Chicago, IL",1,3.0,"Event Planning & Services, Hotels, Hotels & Travel","3222 N Sheffield Ave (between Belmont Ave & School St) Chicago, IL 60657 Neighborhood: Lakeview",Yes,$$,Free,http://www.oldchicagoinn.com,(773) 245-0423,5
1,2/5/2010,i4HIAcNTjabdpG1K4F5Q2g,"This place is disgusting, absolutely horrible, it is my second stay here, there is a strange stain on the other side of the bed I stay on, and my friends and I are rendered air conditionless, but it is 55 for downtown Chicago, what am I suppose to do?",3,11,4,9,N,yoB_PYQHjnPjh78ATA0Jgw,Veronica B.,"Saint Paul, MN",January 2010,5,49,5,63,34,21,10,2,0,0.04880478087649402,tQfLGoolUMu2J0igcWcoZg,Tokyo Hotel,"Tokyo Hotel - Near North Side - Chicago, IL",6,3.0,"Event Planning & Services, Hotels, Hotels & Travel","19 E Ohio St Chicago, IL 60611 Neighborhood: Near North Side",No,$,No,http://tokyohotels.webs.com/,(312) 787-4900,5
2,8/9/2010,veKKNAaSKWj8os,"Disgusting!!!  There is literally duct tape holding together the elevator.  Crack heads live here.. not safe!  Walked in, bought a room.. saw it and left.  No locks on doors, no parking, no air conditioning, no way! For the $$ you pay for the room ($ 55 a night) and parking ($ 38 a night) you could stay down the street at The Ohio House and NOT sleep with one eye open.  Would not recommend this hotel to my worst enemy.  Seriously, DO NOT STAY HERE!",1,1,0,3,N,XrFCag4AMW5qta9QXokWPA,Paul The Commander M.,"Saint Louis, MO",August 2008,15,135,29,235,85,102,72,0,3,0.08869908015768725,33Xc1Bk_gkSY5xb2doQ7Ng,The Tremont Chicago Hotel at Magnificent Mile,"The Tremont Chicago Hotel at Magnificent Mile - Near North Side - Chicago, IL",44,3.0,"Event Planning & Services, Hotels, Hotels & Travel","100 East Chestnut (between Ernst Ct & Michigan Ave) Chicago, IL 60611 Neighborhood: Near North Side",Yes,$$,Free,http://www.tremontchicago.com,(312) 751-1900,5
3,8/11/2012,6c-ZiQkHXtp1n6VfiKDQ3g,"This hotel came up on Hotwire for $108 a night.  We wanted to stay in this area so we took it.  The Tremont is an older hotel updated to boutique style.  I'm rather amazed by some of the other snarky reviews -- if you want rooms like the Drake or the Four Seasons, book yourselves there and pay the price!   In fact, our room (910) was fine.  It's a bit small, but large enough to hold a rather monumental king size bed with a giant headboard.  Perfectly comfortable.  There's decent free WiFi and plenty of outlets.  The bathroom has a slightly odd layout but is a bit larger than at the Inn of Chicago, where we stayed the first two nights we were in town. You also can't beat the location -- half a block west of Michigan Ave. at the Water Tower.  So there's no end of shopping and dining facilities.  You're a couple of blocks walk to Oak Street Beach and the El station.   It's true that there's only one elevator, so be prepared for it to be slow, especially when it's check-out time.  But this is a small quibble.  Haven't tried the continental breakfast at Ditka's yet.  But we did notice a café in the plaza at the John Hancock building across Michigan Ave. that offers breakfast, coffees, etc. that probably should be decent.  There's also a Starbucks right across the street from the hotel.  Also the hotel has only 20 TV channels and doesn't carry MSNBC, to which I'm kind of addicted.   In short, no real complaints.  The Tremont more than meets our needs at a great price!",4,2,0,1,N,y5ptsWmvGEAftOQaiFhBcg,Stella BraveTart J.,"Lexington-Fayette, KY",September 2009,49,104,36,282,83,92,43,0,21,0.09236234458259325,2nnXespKBBNtDQTtrumNFg,Inn At Lincoln Park,"Inn At Lincoln Park - Lincoln Park - Chicago, IL",20,2.0,"Event Planning & Services, Hotels, Hotels & Travel","601 W Diversey Pkwy (between Broadway St & Cambridge Ave) Chicago, IL 60614 Neighborhood: Lincoln Park",Yes,$$$,Free,None,(773) 348-2810,5
4,7/9/2012,POWQ6FuUf3oe2ZkhmHvciA,"Good location, really run down. I am surprised SPG lends their reputation to this property.",2,0,0,0,N,uUVZJm9yxNl5FBsXbt4WBg,Ginger 'where's my meds' v.,"San Francisco, CA",August 2008,22,34,2,81,32,52,5,0,1,0.022339027595269383,SNuJYJewLhunxlhEezo15w,Carleton Hotel,"Carleton Hotel - Oak Park, IL",31,4.0,"Event Planning & Services, Hotels, Hotels & Travel","1110 Pleasant St (between Maple Ave & Marion St) Oak Park, IL 60302",Yes,$$,Free,http://www.carletonhotel.com/,(708) 848-5000,5
5,6/19/2012,QBynYcLgIgtAd-YfnrrAtA,"Beautiful lobby. The rest is a dump. The elevator should be in an amusement park. The rooms are nice, if you like lumpy beds, peeling wallpaper, caked on dust on the air vents, disgusting bathrooms, and zero customer service. If they were a hostel, I'd be more understanding. But this place purports to be a classy old hotel.   If you're a hobo looking for a flophouse, this might be for you. There are plenty of dumpsters nearby for any biscuit-spearing you might have on your itinerary.  By all means, catch a cannonball to chi-town but mind the bone polishers. If you are a non-hobo, look elsewhere.",1,0,1,1,N,ZCRY4GLLTli8tZRPi1P7Cw,Johan Johanna S.,"San Leandro, CA",August 2010,0,34,0,20,3,3,0,0,0,0.04292929292929293,XZEBxlz9ZoP76CrYvEsL1A,Holiday Inn Express Hotel Chicago - Magnificent Mile,"Holiday Inn Express Hotel Chicago - Magnificent Mile - Near North Side - Chicago, IL",19,3.5,"Event Planning & Services, Hotels, Hotels & Travel, Venues & Event Spaces","640 N Wabash Ave (between Ontario St & Erie St) Chicago, IL 60611 Neighborhood: Near North Side",Yes,$$,Free,http://www.holidayinnexpress.com,(312) 787-4030,5
6,9/14/2012,ELY3TK,"Stayed here when I went to Chicago for a wedding.  The hotel had an old world charm that my husband and I liked and made us choose this over something more modern.  Yes, the hotel only had 1 small elevator which made it a little inconvenient when there were multiple groups (with luggage) at the same time, which reminded me of a hotel in Europe.  The rooms were modest, the bathroom was fine, everything was clean... not luxurious, but what do you expect.  The location itself is conveniently located just off the main street.  I think we ended up paying $160 per night (after taxes were added) during the weekend in July, which was cheap for that area when we looked.  Overall, fairly comfortable and affordable, a decent option.",3,2,0,0,N,uOFIY6vBBp7O6un8CLggTw,Daniel Don Quijote K.,"Honolulu, HI",June 2011,72,51,0,57,19,16,8,0,1,0.10450819672131148,FfG-PPZCz1sB4SKZoqsZkQ,The Whitehall Hotel,"The Whitehall Hotel - Near North Side - Chicago, IL",58,3.5,"Event Planning & Services, Hotels, Hotels & Travel","105 E Delaware Pl (between Ernst Ct & Huguelet Pl) Chicago, IL 60611 Neighborhood: Near North Side",Yes,$$,Paid,http://www.thewhitehallhotel.com/?…,(312) 944-6300,6
7,3/20/2012,uWKWYb5vDpeDGEAZUc192g,"I bleed SPG loyalty blood to the point where I will walk or drive an extra 15-20 minutes to stay at a Starwood property just to get the points, but if the Westins downtown are booked again...I think that I may have to reconsider my tactics, because The Tremont is a dump.   This property is an embarrassment to the brand. Three things come to mind. 1)  The room's wallpaper and paint were perhaps current when leisure suits were legitimately fashionable. 2)  The hotel doesn't have a gym or a restaurant. 3)  I called down to the front desk because someone literally stole the cord off the back of the television and I wanted to watch the news, but there was no answer.  What kind of @!#$%!@#$ hotel doesn't answer at the front desk?  I ended up calling six times and never got through to the front desk, so I finally just took the one (yes, one) elevator down there.  I couldn't find a single person who works for the hotel. Stay classy, Tremont.  I won't be back.",1,1,1,0,N,tdE3__i2otI_nL3M3sy0MQ,Jen Mme Federer C.,"New York, NY",December 2008,136,238,37,200,103,40,55,10,2,0.17,yiXTDN-dfNq3NKXZPKgsaw,Hilton Suites Chicago,"Hilton Suites Chicago - Near North Side - Chicago, IL",34,4.0,"Event Planning & Services, Hotels, Hotels & Travel","198 E Delaware Pl (between Michigan Ave & Seneca St) Chicago, IL 60611 Neighborhoods: Near North Side, Streeterville",Yes,$$,Paid,http://www.chicagomagnificentmile.…,(312) 664-1100,5
8,3/3/2012,hkt7Dnr7kRnLLd9pm-fxDw,"I stayed here a couple of times in 2011, as this was the hotel-of-choice for my sister's wedding last summer.  It definitely had a lot of charm, but it was quite outdated and a bit run down (peeling wallpaper, for example).  The elevator was INCREDIBLY SLOOOOOW - and just one passenger elevator for 16 floors meant lots of waiting around.  (There was a service elevator that some used instead, but it was equally as slow.)  For the location and the price, though, it's a pretty good place to stay.",3,0,0,0,N,Uu-qEGsSb72ngIQUF85rDQ,Anna P.,"New York, NY",March 2010,1,11,0,9,4,3,1,1,0,0.01164021164021164,SEyUJ4t_8K4fD0ZIQnbmrA,Gold Coast Chicago Hotel,"Gold Coast Chicago Hotel - Near North Side - Chicago, IL",46,3.5,"Event Planning & Services, Hotels, Hotels & Travel","1244 N. Dearborn Pkwy (between Division St & Goethe St) Chicago, IL 60610 Neighborhood: Near North Side",Yes,$$,Free,http://www.goldcoastchicagohotel.c…,(312) 787-4980,5
9,6/18/2012,ZlexD7XvkqH8yve4zCAR7g,"This is an older property, so the decor is dated. This is not up to par with other SPG properties. No gym. A sparse continental breakfast of desserts and cereal is provided in the adjacent Ditka's restaurant. My bf is an SPG platinum elite member. Daniel upgraded us to the penthouse suite three days before our reservation. However when we arrived, it was unavailable due to construction. We were transferred to a suite in which one shower did not function, and the bathroom reeked of urine. We complained to the manager, who stated she did not smell anything unusual. With the help of our SPG representative, we switched to a different hotel.",1,0,0,0,N,zyk-YPhtFZK6kkbpzEKrWw,Kara P.,"Covington, KY",December 2009,66,49,2,51,19,14,27,13,1,0.04734299516908213,qgpP1FOFrlssColqP2u-xA,Holiday Inn Hotel & Suites Chicago-Downtown,"Holiday Inn Hotel & Suites Chicago-Downtown - University Village - Chicago, IL",11,3.0,"Event Planning & Services, Hotels, Hotels & Travel, Venues & Event Spaces","506 West Harrison St (at Clinton St) Chicago, IL 60607 Neighborhood: University Village",Yes,$$,Free,http://www.holidayinn.com,(312) 957-9100,5
