spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,stcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label,service1
8,12,424,8824,2326.720478,31,29,363458.2188,7924565.0,1,4,1.121429,0.695091,82.800888,1444007294,255,0.000638,0.000516,0.000122,53,735,0,0,3,0,7,1,1,5,5,3,0,Normal,0,1
2,2,146,178,3054.989733,31,29,594704.6875,725050.875,0,0,0.008,0.009000000000000001,0.0,0,0,0.0,0.0,0.0,73,89,0,0,2,0,2,1,1,1,2,4,0,Normal,0,0
64,66,3806,51808,4977.811965,31,29,1156704.625,15751186.0,7,26,0.413016,0.389585,21.965953,62717471,255,0.000725,0.000584,0.00014099999999999998,59,785,0,0,4,0,5,1,1,2,5,3,0,Normal,0,0
4,4,568,312,1482.736753,31,29,721881.0,396526.1563,0,0,1.278333,1.0316670000000001,1.797938,0,0,0.0,0.0,0.0,142,78,0,0,3,0,3,1,1,3,2,5,0,Normal,0,0
12,10,994,838,23.861251,254,252,8290.080078,6862.950195,3,2,75.874724,90.035,4617.700157,3025042548,255,0.142198,0.06976399999999999,0.072434,83,84,0,0,9,1,1,1,1,5,2,5,0,Normal,0,0
2,2,146,178,2671.415725,31,29,520035.5938,634016.0,0,0,0.009000000000000001,0.006999999999999999,0.0,0,0,0.0,0.0,0.0,73,89,0,0,2,0,1,1,1,1,4,2,0,Normal,0,0
60,62,3614,45696,3373.5744200000004,31,29,792706.375,10027936.0,7,24,0.6025590000000001,0.579328,0.0,1572760098,255,0.000665,0.000524,0.00014099999999999998,60,737,0,0,2,0,3,1,1,1,3,5,0,Normal,0,0
14,8,8928,424,440.279261,31,29,1390611.625,62226.13672,4,1,3.6689999999999996,6.714142999999999,390.026177,3271300162,255,0.000714,0.00057,0.000144,638,53,0,0,3,0,9,1,1,5,4,6,0,Normal,0,1
14,18,1684,10168,30.816518,31,29,12437.94434,76377.25,3,5,77.354538,59.144824,8765.786522,2567819171,255,0.000604,0.000489,0.00011499999999999999,120,565,1,3924,2,0,4,2,1,4,4,3,0,Normal,0,1
10,6,610,268,30.973049,254,252,9068.90918,3700.2470700000003,2,1,50.903778,81.449797,2581.327066,3537248379,255,0.1533,0.077034,0.076266,61,45,0,0,5,1,3,3,1,5,4,7,0,Normal,0,0
1,0,46,0,0.0,0,0,0.0,0.0,0,0,60000.684,0.0,10.954514,0,0,0.0,0.0,0.0,46,0,0,0,2,2,2,2,2,2,2,2,1,Normal,0,0
54,54,3286,39076,439.13289800000007,31,29,105917.2109,1259219.75,7,20,4.678865,4.675366,280.090576,2844126067,255,0.0006730000000000001,0.000542,0.000131,61,724,0,0,10,0,1,1,1,3,3,5,0,Normal,0,0
1,0,46,0,0.0,0,0,0.0,0.0,0,0,60000.835999999996,0.0,10.954527,0,0,0.0,0.0,0.0,46,0,0,0,2,2,2,2,2,2,2,2,1,Normal,0,0
2,0,104,0,333333.3215,254,0,138666656.0,0.0,0,0,0.003,0.0,0.0,0,0,0.0,0.0,0.0,52,0,0,0,3,2,1,1,1,1,1,2,0,Normal,0,0
52,54,2934,3742,152.674419,31,29,33477.86328,42725.57422,11,15,14.029204,12.967433999999999,1406.350464,1749332202,255,0.000573,0.000459,0.00011399999999999999,56,69,0,0,2,0,7,2,1,5,7,1,0,Normal,0,1
90,92,5174,83812,1742.311169,31,29,394051.0938,6384059.0,7,39,1.1768299999999998,1.173591,71.19958000000001,3428365497,255,0.000723,0.0006,0.000123,57,911,0,0,5,0,2,1,1,1,4,4,0,Normal,0,0
52,54,2934,3740,218.01827000000003,31,29,47806.21484,60978.671879999994,11,15,10.240426,9.076642,1354.2373380000001,2770774675,255,0.0006900000000000001,0.000543,0.000147,56,69,0,0,1,0,6,1,1,4,5,2,0,Normal,0,1
14,18,1684,10168,30.661831,31,29,12375.51074,75993.86719,3,5,77.74476899999999,59.445352,8769.559506,4258310798,255,0.0005809999999999999,0.000455,0.000126,120,565,1,3924,2,0,4,1,1,6,4,2,0,Normal,0,1
2,0,90,0,111111.1072,254,0,40000000.0,0.0,1,0,0.009000000000000001,0.0,0.0,0,0,0.0,0.0,0.0,45,0,0,0,11,6,3,1,1,11,3,11,0,Normal,0,0
22,16,1470,1832,9160.683817000001,31,29,2780886.5,3402822.75,5,4,0.192333,0.22353299999999998,10.469885000000001,3567659486,255,0.000676,0.0005639999999999999,0.00011200000000000001,67,115,0,0,14,0,6,1,1,1,1,6,0,Normal,0,0
14,12,1106,678,25.913045999999998,254,252,8516.063477,5157.732422,4,4,74.212695,82.950906,4066.579845,2737824075,255,0.090258,0.051677,0.038581,79,57,0,0,3,1,1,1,1,3,1,3,0,Normal,0,0
18,18,3936,2456,6473.090486,31,29,5501017.0,3432587.5,7,7,0.297118,0.286765,14.891349,1400900823,255,0.0006519999999999999,0.000529,0.000123,219,136,0,0,4,0,3,1,1,4,4,6,0,Normal,0,0
2,0,90,0,200000.0051,254,0,72000000.0,0.0,1,0,0.005,0.0,0.0,0,0,0.0,0.0,0.0,45,0,0,0,15,6,2,1,1,15,2,15,0,Normal,0,0
1,0,46,0,0.0,0,0,0.0,0.0,0,0,60000.687999999995,0.0,15.492022,0,0,0.0,0.0,0.0,46,0,0,0,2,2,2,2,2,2,2,2,1,Normal,0,0
10,8,870,1192,23.349179,62,252,8603.485352,11460.32617,2,2,80.897444,95.12200000000001,4086.828953,1443984418,255,0.222194,0.061534000000000005,0.16066,87,149,1,172,3,1,2,2,1,3,9,3,0,Normal,0,1
122,126,7820,15736,7720.921215,31,29,1939545.375,3904098.0,30,32,0.272845,0.251592,16.720138000000002,3481514038,255,0.000672,0.000539,0.000133,64,125,0,0,5,0,3,1,1,1,4,3,0,Normal,0,0
4,4,568,312,1574.803119,31,29,766704.125,421147.3438,0,0,1.170667,1.019667,1.647089,0,0,0.0,0.0,0.0,142,78,0,0,8,0,4,1,1,5,4,5,0,Normal,0,0
10,8,534,354,20.175982,254,252,4566.893066,2943.3198239999997,2,1,93.620667,103.849859,5650.582231,2616990696,255,0.15465399999999999,0.097053,0.057601,53,44,0,0,3,1,2,2,2,3,2,4,0,Normal,0,0
10,6,588,268,17.939557999999998,254,252,5070.915039,2143.1791989999997,2,1,92.789333,152.363406,5094.240614,222244503,255,0.177337,0.074317,0.10302,59,45,0,0,2,1,1,1,1,2,1,2,0,Normal,0,0
64,66,3806,51808,1534.837182,31,29,356653.3438,4856653.0,7,26,1.32881,1.305078,79.49713100000001,2965653192,255,0.00065,0.0005139999999999999,0.000136,59,785,0,0,13,0,5,1,1,3,5,12,0,Normal,0,0
68,70,4014,59460,4740.484538000001,31,29,1094809.75,16224499.0,7,28,0.439846,0.41134799999999994,23.28446,2331682413,255,0.0006490000000000001,0.000512,0.00013700000000000002,59,849,0,0,6,0,2,1,1,1,2,7,0,Normal,0,0
